GEL-Stomach_common_SBS93+121	GEL-Stomach_common_SBS17	GEL-Stomach_common_SBS13	GEL-Stomach_common_SBS5	GEL-Stomach_common_SBS3+8	GEL-Stomach_common_SBS18+100	GEL-Stomach_common_SBS18	GEL-Stomach_common_SBS1	GEL-Stomach_rare_SBS112	GEL-Stomach_rare_SBS106	GEL-Stomach_rare_SBS95	GEL-Stomach_rare_SBS44	unassigned
GEL-2949582-11	2522.16048673314	8016.63478113909	2048.47300997127	5545.04769308771	0	2487.10961635964	3564.67351698496	3785.99472705763	0	0	0	0	1657.90616866656
GEL-2930352-11	0	6684.11970471961	0	0	2087.75652483465	2948.94984355386	4578.86940962659	6996.50845933337	0	0	0	0	3380.79605793192
GEL-2063091-11	4704.41848493712	0	0	0	0	1916.52219947353	2253.55367066394	5780.1147704007	0	0	0	0	2467.39087452471
GEL-2542107-11	1991.20405255659	8111.97910400506	1747.93477916733	2127.85531106538	1612.28462877948	0	0	0	0	0	0	0	218.742124426159
GEL-2550721-11	2514.15555448964	7743.39917498081	0	0	2122.28717382962	1692.43155218726	2220.25426899463	2832.5486137759	0	0	0	0	1715.92366174214
GEL-2703631-11	0	3215.86962305987	0	0	2040.54944567627	0	6143.32949002217	0	0	0	9189.27937915743	0	1013.97206208426
GEL-2135409-11	1908.20294633835	5437.07825878849	0	1760.68725735255	1420.1510397277	2681.78522044355	4603.98965590597	0	0	0	0	0	993.105621443392
GEL-2827353-11	0	0	0	0	0	0	0	33731.4275166713	0	0	0	78353.8047713952	6896.7677119335
GEL-2494528-11	1131.75799644602	3191.3671701466	0	1284.06186139494	0	1630.75355397601	2902.29042647712	2122.73511772546	0	0	0	0	1270.03387383385
GEL-2307613-11	2611.94257323132	6896.02828664614	0	2479.47084463682	0	1318.21867284421	0	1928.08851769439	0	0	0	0	1166.25110494712
GEL-2453205-11	1391	1860.5	0	972.5	761.5	1370	962.5	511	0	0	0	0	390
GEL-2223171-11	3081.04229203567	18471.2584133495	0	0	2211.81248252074	2015.37354339517	2727.65213946117	1989.38162269662	0	0	0	0	1674.47950654113
GEL-2538334-11	1376.95902571439	3026.1076262793	0	1917.83573603316	1245.86772312094	988.188254282675	1969.37162980081	2820.96474817505	0	0	0	0	294.705256593676
GEL-2562604-11	1985.78469210755	5675.38464874241	0	1939.28973330442	1862.2980810928	1300.85895490026	1358.35272116219	4202.54434084996	0	0	0	0	121.48682784041
GEL-2123996-11	0	1624.89424827084	0	942.228613032399	754.182987501517	1236.29996359665	1916.46499211261	952.731161266837	0	0	0	0	816.198034219147
GEL-2560391-11	0	12928.7801123682	0	5515.61265296698	0	3110.90956668976	4845.91684753329	3260.95343646579	0	0	0	0	2829.82738397598
GEL-2486945-11	3777.372054672	12591.073455013	0	2310.83936607318	0	2613.94946473992	6316.79444894765	6336.30153450541	0	0	0	0	1843.66967604884
GEL-2843710-11	0	0	0	0	0	0	1491.63167196889	2750.85330505479	0	0	0	0	1425.51502297632
GEL-2460996-11	3990.3840981702	19256.4406912576	0	2500.42737438281	0	2486.42778100494	0	2979.91344757479	0	0	0	0	3215.40660760966
GEL-2139529-11	1747.5161198751	981.60476904984	0	0	1663.63534612109	1780.46928099274	1842.38128066832	3257.37004744718	0	0	0	0	1039.02315584573
GEL-2001257-11	8115.03783102144	15068.2849936948	0	0	0	0	2004.63880381913	0	0	0	0	0	2562.03837146463
GEL-2521262-11	0	21307.6360461824	0	2690.82261616384	0	2839.78511655708	0	0	0	0	0	0	4940.75622109668
GEL-2464087-11	0	49552.6172912364	0	0	0	0	0	0	0	0	0	0	4687.3827087636
GEL-2974763-11	686.456043032442	2086.44528492184	0	562.603126575895	0	0	0	1669.25651369978	0	0	0	0	961.239031770043
GEL-2240022-11	2887.73440663983	6485.91937701557	0	0	2373.49401264968	1494.29271768206	4220.26606834829	1929.64963375916	0	0	0	0	579.643783905409
GEL-2670889-11	0	61649.8074308442	0	0	0	0	0	0	0	0	0	0	5388.1925691558
GEL-2213973-11	713.551044657887	3374.33478562234	584.27002673532	0	0	1543.85587681949	1183.07164075651	2163.2021487276	0	0	0	0	558.714476680852
GEL-2383867-11	0	0	0	670.380530973451	144.769911504425	0	0	175.53982300885	0	0	0	0	206.309734513274
GEL-2619912-11	1593.03283536817	5154.69568514446	0	0	0	1723.23985743535	4111.5371198908	6075.15917191173	0	0	0	0	1154.33533024949
GEL-2662509-11	0	34117.6750189915	0	2404.33790713133	0	0	0	0	0	0	0	0	5642.98707387717
GEL-2102449-11	6976.83970259973	12967.0758437809	0	0	2933.76835674605	0	4063.10390547639	2256.16702750785	0	0	0	0	643.045163889081
GEL-2962166-11	2421.11235742643	8665.71907492596	0	1691.37286533493	1679.85329888462	0	0	0	0	0	0	0	1437.94240342806
GEL-2485195-11	0	4338.31813061017	0	2058.2276410946	0	1874.84100737726	1968.28324308609	1873.84162517716	0	0	0	0	1636.48835265472
GEL-2636562-11	2236.56839666704	2568.05978403019	0	968.513993199567	1433.30086313194	2591.52378283451	2526.12412659268	891.631954564137	0	0	0	0	145.277098979936
GEL-2036814-11	2523.75424587331	1601.38215839342	3424.59430308087	0	0	4232.79655562839	2965.41123890114	0	0	0	0	0	2058.06149812287
GEL-2415057-11	1887.16359322316	3460.54939016776	0	0	0	2823.50052033468	7842.44632227449	4926.01161387004	0	0	0	0	3066.32856012987
GEL-2323082-11	0	4769.32324411057	917.735686674932	0	0	2009.11056815695	1557.74874188608	2533.03055940486	0	0	0	0	1935.05119976661
GEL-2314411-11	346.597523219814	133.537573881227	0	473.133126934985	390.609907120743	0	0	184.551927948213	0	0	0	0	248.569940895018
GEL-2747031-11	1176.1797235023	688.983950421103	0	545.779437470205	769.599078341014	974.892261242651	1518.16812331162	444.134276179882	0	0	0	0	184.263149531225
GEL-2744323-11	1511.75851694131	14146.7769857434	0	0	0	0	2212.34174226995	0	0	0	0	0	3751.12275504534
GEL-2722061-11	2466.91326211569	0	3576.54895779052	1762.50971860344	8361.79035956227	1315.25349140177	0	0	0	0	0	0	1717.98421052631
GEL-2364446-11	2681.69955672303	3824.63700541783	0	2572.10967000493	1601.31341323264	1100.90297159744	1673.37251682811	972.797898538828	0	0	0	0	813.166967657191
GEL-2890974-11	3032.19199594731	1455.09213525836	0	0	0	1571.59951241135	4210.26659067882	3862.74458586626	0	0	0	0	1661.1051798379
GEL-2811206-11	4630.89914018253	0	0	0	3457.39061537107	3094.61513630895	2937.77988085806	1553.3204213986	0	0	0	0	1400.99480588079
GEL-2982862-11	5133.64306820093	3974.44946789343	0	2680.29154154755	3208.15201671992	1569.58512503904	2771.26749465491	0	0	0	0	0	1470.61128594422
GEL-2796216-11	0	0	0	0	0	3081.44892289394	3853.81209447645	14372.7581903553	0	0	0	33519.2610351224	1530.71975715191
GEL-2470048-11	2731.94935575663	35551.8676876512	0	0	3222.2992401232	0	0	0	0	0	0	0	5442.88371646897
GEL-2476881-11	0	1921.93720379147	1131.17150473934	614.537914691943	0	1362.12529620853	837.960604265403	2181.50918246445	0	0	0	0	425.758293838864
GEL-2084804-11	0	5793.53203679164	0	0	0	0	0	10863.9352582876	0	0	0	64258.9468336247	8902.58587129606
GEL-2768069-11	1768.5	11557	0	0	0	1852.5	1708.5	3022.5	0	0	0	0	2383
GEL-2470342-11	1460.46875496268	716.966491980308	3544.77846593616	2199.46494362395	1099.48213434969	1616.67933142766	1451.95728124504	0	0	0	0	0	521.202596474512
GEL-2011992-11	0	0	0	503.923837784372	187.012858555885	0	0	169.827893175074	0	0	0	0	161.235410484669
GEL-2171628-11	3837.71833511369	0	0	969.813291622158	1686.91465740882	1686.91465740882	1792.00278498398	2970.49107279109	0	0	0	0	173.145200671443
GEL-2025338-11	0	14115.4471674093	1541.96053469128	3093.43316359007	0	3284.67632081477	1809.30044557607	0	0	0	0	0	1323.18236791851
GEL-2277052-11	0	0	0	482.358315041288	0	0	723.788439427198	1533.40754677537	0	1258.84979617435	0	0	803.595902581794
GEL-2957183-11	173.167609407562	371.933908901459	0	470.313188448943	412.590651979756	0	0	166.140518011313	0	0	0	0	91.8541232509669
GEL-2111835-11	3050.11222518147	965.960676797744	0	1286.94605462426	0	1837.77899629223	780.179748289728	1175.27719463157	0	0	0	0	492.745104182999
GEL-2922516-11	0	0	2564.89576883385	0	0	365.622291021672	0	1161.32920536636	0	0	0	0	300.152734778118
GEL-2428609-11	4243.97496780425	0	0	0	1528.13091596909	0	3233.21909207985	2759.8334272376	0	0	0	0	655.841596909209
GEL-2222685-11	0	767.5	0	1058.06788511749	0	1406.74934725849	3302.95528720627	2376.14392950392	0	0	0	0	298.583550913831
GEL-2396304-11	2173.75715328952	0	2339.69664077541	1028.72455686118	1621.29396534555	1437.80800637323	0	2493.10293434243	2905.69567815176	0	0	0	1102.92106486092
GEL-2504963-11	1601.24261251705	10297.5602363995	0	0	1539.73329292317	0	2205.83421730565	1573.23836944992	0	0	0	0	2582.39127140471
GEL-2622486-11	1568.5367668304	0	0	1117.95167581624	822.568116151401	1494.94120196475	0	1021.82685639988	0	0	0	0	905.175382837329
GEL-2403225-11	4932.59010725505	4386.57638901798	1793.26077662323	3857.0329200513	6400.43868617209	0	3048.49341041322	2046.80279569493	0	0	0	0	384.804914772201
GEL-2145986-11	3277.09345794393	9231.40394600208	0	1546.89200415369	1201.7507788162	0	0	0	0	0	0	0	1096.8598130841
GEL-2584419-11	1601.26281101896	9888.53524881517	0	0	934.361596563981	0	0	0	0	0	0	0	1077.84034360189
GEL-2391269-11	0	15101.3555119331	0	0	0	0	6736.67346833351	2469.02960016531	0	0	0	0	4747.94141956808
GEL-2238206-11	0	0	17147.4088841383	0	0	1345.00285863432	0	0	0	0	0	0	1659.58825722738
GEL-2404519-11	0	18298.463156224	0	2651.73405817229	2866.96896948534	2230.25316455696	8024.11729693266	0	0	0	0	0	3683.46335462875
GEL-2559770-11	0	0	0	0	0	0	0	29374.2580735605	0	0	0	61518.0219203222	7172.72000611731
GEL-2454462-11	5873.35802980132	3320.74668874172	2009.66225165563	0	0	0	0	3369.28683774834	0	0	0	0	1143.94619205299
GEL-2468670-11	4326.95394365819	0	0	3714.60198189972	5174.24910707092	0	2745.33630528775	0	0	0	0	0	2652.85866208342
GEL-2511881-11	3636.40705081801	9266.20001447806	2459.54075575503	1760.80758650644	4145.98316924859	0	1991.38953235848	3226.15086144491	0	0	0	0	1091.52102939048
GEL-2606080-11	0	0	6627.93553534387	715.692569544173	0	0	0	696.118929844157	0	0	0	0	1396.2529652678
GEL-2752873-11	14867.8898616809	17275.0339322443	0	0	0	18788.6245225217	0	0	0	0	0	118081.567328516	14775.8843550371
GEL-2017726-11	3788.61322574987	6938.45445661162	1478.62961385221	1310.55804746035	2354.00235547648	1743.24228832034	1316.0603904077	0	0	0	0	0	1032.43962212143
GEL-2443731-11	0	2354.61160908537	772.677399704116	1384.00452528065	0	2357.11704812462	2764.50143590636	1764.83125924637	0	0	0	0	118.256722652513
GEL-2181514-11	0	14729.7645073879	0	0	0	0	1398.85750805256	0	0	0	0	0	3435.37798455954
GEL-2187009-11	0	0	2632.38885498047	0	1756.92810058594	1420.05841064453	2235.95379638672	0	7473.20129394531	0	0	0	883.469543457029
GEL-2268254-11	885.812812730703	1031.11016323517	0	484.992535476991	468.458699040276	1134.82240997457	1064.1778361086	897.336395701747	0	0	0	0	141.289147731943
GEL-2716272-11	2146.16115569823	0	898.2303905832	0	662.931995719636	971.167897271268	1057.09427501338	3189.76698769395	0	0	0	0	411.647298020336
GEL-2471547-11	845.554705432288	3733.90971690895	0	749.276205049732	869.998469778118	1361.36801836266	0	1653.69548584545	0	0	0	0	566.197398622802
GEL-2304119-11	0	1505.95490778108	2168.3542674182	1784.96554714338	5207.36223860187	2368.07771070273	1455.7731381116	0	0	0	0	0	555.512190241141
GEL-2920542-11	384.294591484465	0	0	562.43114691216	0	0	256.196394322977	848.65055619486	0	0	0	0	557.427311085538
GEL-2516202-11	1022.80083198913	0	656.334748280839	808.528313099584	882.622548603447	771.481195347653	389.495373121657	1296.6491213176	0	0	0	0	69.0878682400898
GEL-2940219-11	0	21155.9430222956	0	2614.08777869529	0	0	1873.35450041288	2734.20668868704	0	0	0	0	1927.40800990919
GEL-2806145-11	2112.14606998676	20592.3009659546	0	0	0	2248.92886913031	0	0	0	0	0	0	5589.62409492833
GEL-2805368-11	5879.0837738525	33175.2585901238	0	8392.47461642599	9087.2208612687	3678.80390987623	0	0	0	0	0	0	1857.15824845278
GEL-2527300-11	6780.39325947305	4704.81370449679	1136.81742854483	0	0	1441.90261614375	1857.5186667908	0	0	0	0	0	194.55432455078
GEL-2843710-12	0	0	0	0	401.643832980566	0	1383.83182605349	2492.50990956321	0	0	0	0	960.014431402734
GEL-2753449-11	5127.16985739402	3828.98746499967	0	0	1102.50416748063	0	0	2302.09676369083	0	0	0	0	3010.24174643485
GEL-2004313-11	2047.36123748863	1219.60873521383	679.117379435851	790.218380345769	0	1157.05186533212	2170.47315741583	2755.00454959054	0	0	0	0	731.164695177429
GEL-2353557-11	2073.21164202069	6827.63689204205	0	0	0	1673.38154258199	2282.88474798416	2783.29788870844	0	0	0	0	1922.58728666267
GEL-2667409-11	0	6646.97776667499	0	818.112665500874	0	1048.78541094179	942.205595803148	1742.80514614039	0	0	0	0	819.113414938809
GEL-2542107-12	2202.09814456623	9088.78706688636	2436.92852878669	3077.32951262029	3041.77949709865	0	0	0	0	0	0	0	1121.07725004178
GEL-2725590-11	0	0	0	5536.62698698573	0	0	0	17162.9935476798	0	0	0	62753.2735032027	10346.1059621318
GEL-2413369-11	2644.01260868423	5235.48522419817	0	0	1445.60038351415	0	5948.02760776485	2040.55325855683	0	0	0	0	1735.32091728177
GEL-2033522-11	0	2377.23862232996	765.754745460367	2032.84892283767	0	1815.91840095138	2554.681791154	0	0	0	0	0	1381.55751726662
GEL-2609129-11	0	0	10630.3883703643	0	0	0	0	0	0	0	0	0	1481.6116296357
GEL-2334393-11	3180.66479274611	2654.13751295337	0	1325.06865284974	0	2751.64256476684	2734.64168393782	5516.28580310881	0	0	0	0	1138.55898963731
GEL-2004291-11	2714.86619907376	1067.71716222565	0	0	4129.64151956507	1509.92835089603	2516.54725149339	2539.5843009598	0	0	0	0	444.7152157863
GEL-2873237-11	0	29670.6124191571	0	0	0	0	0	0	0	0	0	0	5826.3875808429
GEL-2911487-11	2161.24526842207	7045.90943000028	0	1926.88133064405	1974.35377006603	1754.48141905893	0	1643.04611388943	0	0	0	0	1580.08266791921
GEL-2102826-11	2345.92890651448	0	1567.96788702423	1800.85428253615	1822.93833728297	0	2059.84001547613	0	0	0	0	0	780.470571166041
GEL-2417880-11	0	7105.52240745746	0	6226.40101671718	0	4892.95849746683	0	0	0	0	0	62854.9278464343	5928.19023192424
GEL-2713785-11	1912.24082323592	0	0	1150.25017818959	0	1372.68531717748	2088.58579828938	4093.50792943692	0	0	0	0	628.729953670711
GEL-2509523-11	0	0	0	0	0	2303.60597537346	3038.03087692981	1039.9336208513	0	0	0	0	1644.42952684543
GEL-2770351-11	0	5382.67227786064	0	4114.74947490183	0	0	0	9262.43605978509	0	0	0	39867.5726766308	7070.56951082164
GEL-2639358-11	0	0	0	12769.6222175	0	8851.54495970708	0	11768.2302630073	0	0	0	116248.457335273	3288.14522451261
GEL-2116203-11	5869.53166660512	0	1065.77281288083	0	1522.10229329	0	1492.48354813693	3335.37191181358	0	0	0	0	308.73776727354
GEL-2135513-11	0	62787.2449447822	0	5392.4287654098	0	0	0	0	0	0	0	0	6624.326289808
GEL-2740643-11	301.880935994494	0	0	650.205092911218	289.765313145217	0	0	0	0	0	0	0	225.148657949071
GEL-2574070-11	0	10747.9973526543	1544.21513167061	0	1448.20175560819	2571.35822767173	2376.33105754493	1774.74724815383	0	0	0	0	1071.14922669641
GEL-2482829-12	172.452220248668	0	0	518.847602131439	179.906927175844	180.403907637655	0	338.443694493783	0	0	0	0	8.94564831261096
GEL-2318752-11	1529.82999235789	8329.12991593675	0	1575.29522073952	0	0	2540.05737463994	1354.9637293516	0	0	0	0	1668.7237669743
GEL-2113397-11	755.36198010308	0	3190.02870670023	1354.64916696632	966.463142754405	1375.65923528707	640.306844060889	0	0	0	0	0	64.5309241280065
GEL-2324017-11	10008.4474728272	7555.59272843741	5611.31153655412	3392.49063933545	18351.6541100136	3398.99157953465	0	0	0	0	0	0	82.5119332975737
GEL-2336737-11	0	13504.1099591097	5558.57186607128	0	0	4413.40892059744	3463.02882855139	1855.69474242502	0	0	0	0	472.18568324517
GEL-2477882-11	2015.9383073197	1733.09620559742	2299.28101453175	2108.04971743811	0	3478.20694294941	0	1981.89713401507	0	0	0	0	1265.53067814854
GEL-2988487-11	1639.54489239566	13146.3691127906	0	1760.08495312396	0	1588.02777100556	2125.70646512556	0	0	0	0	0	2307.26680555866
GEL-2775482-11	950.790224828935	2148.26656891496	0	1294.85244379277	0	2243.64521016618	1224.44203323558	2139.2780058651	0	0	0	0	215.725513196476
GEL-2531909-11	1241.03755961844	0	1530.23072337043	1462.91852146264	1365.19117647059	1907.67766295707	683.094197138315	1616.98867249603	0	0	0	0	228.861486486485
GEL-2639664-11	2204.65633554494	4143.99299401475	0	1482.7865726349	3070.69980977126	1702.55136175938	5359.45747691737	2893.48628961165	0	0	0	0	721.369159745751
GEL-2252545-11	2167.02602889473	3267.06975507431	1823.88852778681	1809.86246934736	3315.15909829527	2763.13351257128	0	0	0	0	0	0	1808.86060803024
GEL-2260393-11	3869.77593776477	8220.95940845721	0	2053.7385812216	0	0	2418.04698451822	0	0	0	0	0	2928.4790880382
GEL-2446159-11	3000.45973762799	7641.94437926621	0	1416.95323165529	1451.46427047782	2693.3615081058	1227.39259812287	0	0	0	0	0	1326.42427474402
GEL-2187321-11	3125.3619413549	1173.07284125379	1467.96546006067	1642.4019413549	1108.59631951466	2275.67134479272	0	1030.62471183013	0	0	0	0	534.30543983823
GEL-2665917-11	0	5800.63681290362	0	1629.24060879847	0	1336.10735833611	2069.94093927175	3629.64994087863	0	0	0	0	2033.42433981142
GEL-2989533-11	138.627043090639	0	0	565.720653789004	0	0	0	212.017830609212	0	0	0	0	112.634472511145
GEL-2653043-11	0	0	0	0	0	4622.19180531564	0	21344.0768372882	0	0	0	54677.3542685699	1843.37708882627
GEL-2266584-11	903.877562145661	2256.43894461404	0	2047.62069341474	776.182948102922	690.051679023114	1231.87745311819	1094.16757522896	0	0	0	0	185.783144352374
GEL-2129024-11	0	13505.6828350204	0	0	2062.79882199208	2493.25684083241	2436.76235055487	1955.80925633374	0	0	0	0	3179.6898952665
GEL-2704665-11	290.041816870944	469.68709444845	0	236.85075702956	0	221.796683489546	0	0	0	0	0	0	173.6236481615
GEL-2724316-11	2506.83918603471	10370.9032274434	0	0	0	2982.40353191921	7992.08136269833	0	0	0	0	0	5710.77269190435
GEL-2896435-11	2504.99307084047	19262.895716149	0	0	0	0	0	0	0	0	0	0	2815.11121301053
GEL-2339800-11	0	27828.503952753	0	2807.67403738839	0	0	2680.05249023438	3657.4833984375	0	0	0	0	6075.28612118673
GEL-2723306-11	1335.5	0	0	734	0	0	1512.5	3279	0	0	0	0	1464
GEL-2260831-11	1947.75144657323	921.592130641636	0	1548.99524238138	1355.87115854443	1167.24996785393	0	0	0	0	0	0	840.540054005394
GEL-2500838-11	2763.28471341093	6577.43829646384	0	1923.59044519225	1286.06333094279	0	1753.95018480719	2445.02157003365	0	0	0	0	1392.65145914935
GEL-2009742-11	0	0	0	0	1003.54643667726	0	5315.19055832955	3105.78592827962	0	0	0	0	1607.47707671357
GEL-2823777-11	9973.82345449721	11517.8317060228	0	4341.61724595383	5273.82035022552	3817.784080658	2402.23491642345	0	0	0	0	0	350.88824621919
GEL-2210981-11	0	6315.17278902804	872.645697176524	980.225298605969	1700.25807282444	1091.80786194907	1177.37117285342	2767.04742281317	0	0	0	0	637.471684749367
GEL-2595094-11	0	15411.8274809073	0	0	0	0	0	14781.5390183847	0	0	0	46381.4334586274	11322.2000420806
GEL-2695317-11	2684.1657960199	3630.31044776119	1640.3513681592	0	0	3105.89888059701	1827.17611940299	1918.83544776119	0	0	0	0	1301.26194029852
GEL-2284465-11	4772.19270731229	0	0	1852.43984839574	1794.5042802065	1472.36254329216	1475.3592106123	2627.57779520355	0	0	0	0	1291.56361497746
GEL-2964277-11	0	0	0	965.448028673835	869.605734767025	626.73835125448	0	0	0	0	0	0	478.20788530466
