ICGC-Colorectal_common_SBS93+121	ICGC-Colorectal_common_SBS1	ICGC-Colorectal_common_SBS18	ICGC-Colorectal_common_SBS5	ICGC-Colorectal_common_SBS17	ICGC-Colorectal_rare_SBS10a	ICGC-Colorectal_rare_SBS44	ICGC-Colorectal_rare_SBS88	ICGC-Colorectal_rare_SBS94	unassigned
bb6150f7-23e4-40f2-b466-6b6edd19c502	0	4848.97320993668	1821.67231988664	0	0	0	0	2809.63875481557	0	1793.71571536111
d452293a-6148-4fcf-9fbc-446815016751	545.935560544038	2875.42757163608	3068.25802191998	706.711078832695	0	0	0	0	0	389.667767067207
faff4626-615b-416a-b7a6-9d177dcc94a9	14276.3946090623	2649.31552144769	0	0	2630.30967100121	0	0	0	0	1559.9801984888
5b180356-cf58-4fad-a3d4-00fc12b43fcc	6821.08289169025	1230.11324929251	1953.59171597633	8347.98219706715	0	0	0	0	0	1068.22994597376
cd3d7559-b583-4474-81df-4bf9232de3c2	1182.8464633355	3266.57598961713	2082.72965606749	720.90642439974	0	0	0	0	0	450.941466580141
81b1e78c-6032-4ff4-b52a-83456b9450ea	3040.2740245262	4305.18000743218	3069.27186919361	5494.09163879599	0	0	0	0	10305.7340022297	693.44845782232
8da641e4-9b12-4163-bd1e-9d5af91e5186	3627.97741247948	6611.28114358509	3956.06580268992	5179.89551434381	0	0	0	0	0	1039.7801269017
786fc3e4-e2bf-4914-9251-41c800ebb2fa	1271.74921359935	5011.13112422976	2308.41448700823	2080.31817985953	911.386995303141	0	0	0	0	0
14334aea-2dae-428c-9d4a-1a37878dfc3f	4134.25036607985	5850.52403110865	1312.94435586216	3422.55156031369	0	0	0	0	0	638.72968663565
ecf4e05a-0912-4b93-ad66-323002f0c845	784.669013333334	5235.46378666667	2446.08554666667	0	0	0	0	0	0	916.781653333326
